index,link,Title,Price,km,Zustand,Registration date,kW,hp,transmission,Ffuel,Type,Previous Owners,Last Service Date,Warranty,Full Service,Non-smoking Vehicle,Make,Model,First Registration,Body Color,Paint Type,Upholstery,Body,Nr. of Doors,Nr. of Seats,Gearing Type,Gears,Displacement,Cylinders,Weight,Fuel,ConsumptionYou can obtain more information on the official fuel consumption and official specific CO2 emissions of new passenger vehicles from the guideline on fuel consumption and CO2 emissions of new passenger vehicles. This guideline is available free of charge at all dealerships and from Deutsche Automobil Treuhand GmbH at www.dat.de.,CO2 EmissionYou can obtain more information on the official fuel consumption and official specific CO2 emissions of new passenger vehicles from the guideline on fuel consumption and CO2 emissions of new passenger vehicles. This guideline is available free of charge at all dealerships and from Deutsche Automobil Treuhand GmbH at www.dat.de.,Offer Number,Body Color Original,Drive chain,Emission Class,Availability,Country version,Emission Label,Next Inspection,Electricity consumptionYou can obtain more information on the official fuel consumption and official specific CO2 emissions of new passenger vehicles from the guideline on fuel consumption and CO2 emissions of new passenger vehicles. This guideline is available free of charge at all dealerships and from Deutsche Automobil Treuhand GmbH at www.dat.de.,Inspection new,Model Code,Last Timing Belt Service Date,Other Fuel Types,CO2 Emission
51,https://www.autoscout24.com//offers/mazda-3-skyactiv-g122-comfort-gasoline-grey-1661f604-590d-46d2-8b6c-eb7bc3988924,Mazda 3 Skyactiv-G122 Comfort+,"€ 22,690.-","9,337 km",Demonstration,04/2019,90 kW,122 hp,"Manual, Gasoline","Manual, Gasoline",Demonstration,,,,,,Mazda,3,2019,Grey,Metallic,"Cloth, Black",Sedans,5,5,Manual,6,"1,998 cc",,,Gasoline,"5.2 l/100 km (comb)
6.5 l/100 km (city)
4.4 l/100 km (country)",119 g CO2/km (comb),3251007,grau,front,Euro 6,,,,,,,,,,
52,https://www.autoscout24.com//offers/fiat-panda-0-9-twinair-turbo-85-lounge-gasoline-green-a618a8b6-741f-4d13-b523-e7485ff7f40c,"Fiat Panda 0,9 Twinair Turbo 85 Lounge","€ 6,885.-","41,700 km","Used, Full Service History",11/2015,63 kW,86 hp,"Manual, Gasoline","Manual, Gasoline",Used,,01/2020,,,,Fiat,Panda,2015,Green,Metallic,"Cloth, White",Sedans,5,4,Manual,5,875 cc,2,975 kg,Gasoline,"4.2 l/100 km (comb)
5 l/100 km (city)
3.8 l/100 km (country)",99 g CO2/km (comb),,Deepsmaragdgreenmet.,front,,,Austria,,,,,,,,
53,https://www.autoscout24.com//offers/volkswagen-touran-comfortline-1-6-scr-tdi-navi-diesel-grey-a195768b-1260-4ca9-8cdc-f6ffce0d3b51,"Volkswagen Touran Comfortline 1,6 SCR TDI *NAVI*","€ 15,980.-","127,000 km","Used, Full Service History",04/2016,81 kW,110 hp,"Manual, Diesel","Manual, Diesel",Used,1,,12 months,,,Volkswagen,Touran,2016,Grey,,"Cloth, Black",Van,5,5,Manual,6,"1,598 cc",,,Diesel (Particulate Filter),"4.4 l/100 km (comb)

",116 g CO2/km (comb),64961,uranograu,front,,,,,04/2021,,,,,,
54,https://www.autoscout24.com//offers/citroen-berlingo-bluehdi-100-s-s-feel-tageszulassung-diesel-blue-17529c30-86d8-4e44-93ef-bda8953c0e04,Citroen Berlingo BlueHDI 100 S&S Feel Tageszulassung,"€ 22,480.-",10 km,Pre-registered,11/2019,75 kW,102 hp,"Manual, Diesel","Manual, Diesel",Pre-registered,1,,,,,Citroen,Berlingo,2019,Blue,Metallic,"Cloth, Grey",Station wagon,5,5,Manual,5,"1,499 cc",4,"1,594 kg",Diesel,"4 l/100 km (comb)
4.3 l/100 km (city)
3.8 l/100 km (country)",106 g CO2/km (comb),CN1325,Nacht Blau Metallic,front,Euro 6d-TEMP,,,,,,,,,,
55,https://www.autoscout24.com//offers/mercedes-benz-vito-114vtp-l-4x2-3200-diesel-black-901e3219-6445-43d3-8166-a98e247a7e8f,Mercedes-Benz Vito 114VTP/L 4X2 3200,"€ 40,788.-","35,750 km",Used,12/2018,100 kW,136 hp,"Automatic, Diesel","Automatic, Diesel",Used,1,,,,,Mercedes-Benz,Vito,2018,Black,Metallic,,Transporter,,,Automatic,,"2,143 cc",,,Diesel,"7.5 l/100 km (comb)

",199 g CO2/km (comb),060111941023,obsidianschwarz meta,,,,,,,,,,,,
56,https://www.autoscout24.com//offers/audi-a5-2-7-tdi-diesel-grey-44435a95-5fbd-5b3d-e053-e250040a635c,"Audi A5 2,7 TDI","€ 11,400.-","189,000 km",Used,12/2008,140 kW,190 hp,"Automatic, Diesel","Automatic, Diesel",Used,,,,,,Audi,A5,2008,Grey,,Full leather,Coupe,2,5,Automatic,,,,,Diesel,,,,,,,,,,,,,,,,
57,https://www.autoscout24.com//offers/toyota-avensis-1-8-valvematic-comfort-gasoline-black-b9551a95-cb0b-4dbe-a923-cd0b3e4ced1e,"Toyota Avensis 1,8 Valvematic Comfort","€ 10,290.-","92,500 km",Used,05/2011,108 kW,147 hp,"Manual, Gasoline","Manual, Gasoline",Used,1,,,,,Toyota,Avensis,2011,Black,,,Station wagon,5,5,Manual,,"1,798 cc",,"1,500 kg",Gasoline,"6.6 l/100 km (comb)

",155 g CO2/km (comb),,schwarz,front,Euro 5,,,,05/2020,,,,,,
58,https://www.autoscout24.com//offers/citroen-spacetourer-bluehdi-180-s-s-eat6-m-shine-diesel-beige-fee046ef-68e4-4c35-9762-c9d3ccce265f,Citroen Spacetourer BlueHDI 180 S&S EAT6 M Shine,"€ 39,470.-","11,000 km",Used,06/2018,132 kW,179 hp,"Automatic, Diesel","Automatic, Diesel",Used,,,,,,Citroen,Spacetourer,2018,Beige,Metallic,"Full leather, Black",Station wagon,5,8,Automatic,6,"1,997 cc",,,Diesel (Particulate Filter),,,3209404,Sandbeige,front,Euro 6,,,,,,,,,,
59,https://www.autoscout24.com//offers/audi-a4-2-0-tdi-dpf-diesel-black-06d76493-74a6-f842-e053-e250040a4bf5,"Audi A4 2,0 TDI DPF","€ 8,900.-","195,000 km",Used,12/2009,88 kW,120 hp,"Manual, Diesel","Manual, Diesel",Used,,,,,,Audi,A4,2009,Black,Metallic,,Sedans,4,5,Manual,6,"1,968 cc",4,"1,460 kg",Diesel (Particulate Filter),"5.2 l/100 km (comb)
7.5 l/100 km (city)
4.3 l/100 km (country)",136 g CO2/km (comb),,,,Euro 5,,,,,,,,,,
60,https://www.autoscout24.com//offers/skoda-fabia-active-1-0-gasoline-black-80ba159e-7804-4e82-91e8-41bb2096674f,"Skoda Fabia Active 1,0","€ 7,990.-","36,000 km","Used, Full Service History",09/2015,44 kW,60 hp,"Manual, Gasoline","Manual, Gasoline",Used,1,,,,,Skoda,Fabia,2015,Black,Metallic,Cloth,Sedans,5,5,Manual,5,999 cc,,,Gasoline,,,3454350,Schwarz,front,Euro 6,,,,,,,,,,
61,https://www.autoscout24.com//offers/suzuki-ignis-1-2-dualjet-hybrid-4wd-shine-electric-gasoline-grey-09ec0864-13a5-4eb9-9a7e-d3877a1c94f6,"Suzuki Ignis 1,2 DualJet Hybrid 4WD shine","€ 16,990.-",5 km,New,-/-,66 kW,90 hp,"Manual, Electric/Gasoline","Manual, Electric/Gasoline",New,,,,,,Suzuki,Ignis,,Grey,Metallic,Cloth,Sedans,5,4,Manual,5,"1,242 cc",,917 kg,Electric/Gasoline,"4.6 l/100 km (comb)
5 l/100 km (city)
4.4 l/100 km (country)",105 g CO2/km (comb),BUCHHB016081,Mineral Gray Metallic,4WD,,,,,,,,,,Electricity,
62,https://www.autoscout24.com//offers/mercedes-benz-c-180-t-avantgarde-a-edition-plus-aut-gasoline-black-c1f63681-6963-8107-e053-e350040a5ce5,Mercedes-Benz C 180 T Avantgarde A-Edition Plus Aut.,"€ 22,000.-","70,000 km","Used, Full Service History",08/2015,129 kW,175 hp,"Automatic, Gasoline","Automatic, Gasoline",Used,2,,,,,Mercedes-Benz,C 180,2015,Black,Metallic,,Station wagon,5,5,Automatic,7,"1,595 cc",4,"1,500 kg",Gasoline,"5.6 l/100 km (comb)
7 l/100 km (city)
4.7 l/100 km (country)",130 g CO2/km (comb),,,,Euro 6,,,,,,,,,,
63,https://www.autoscout24.com//offers/audi-a7-sportback-3-0-tdi-quattro-sport-s-tronic-diesel-brown-6ff3bf95-5d6b-8619-e053-e250040a2ec3,"Audi A7 Sportback 3,0 TDI quattro Sport S-tronic","€ 24,990.-","160,000 km","Used, Full Service History",07/2013,180 kW,245 hp,"Automatic, Diesel","Automatic, Diesel",Used,2,07/2019,,,,Audi,A7,2013,Brown,Metallic,"Full leather, Beige",Sedans,5,4,Automatic,7,"2,967 cc",6,"1,845 kg",Diesel (Particulate Filter),"6 l/100 km (comb)
7.2 l/100 km (city)
5.3 l/100 km (country)",,,,,,,,,07/2020,,Yes,,,,
64,https://www.autoscout24.com//offers/bmw-320-3er-reihe-diesel-f30-aut-diesel-black-3634b793-508c-4c16-e053-e250040afd68,BMW 320 3er-Reihe Diesel (F30) Aut.,"€ 16,500.-","168,000 km","Used, Full Service History",12/2013,135 kW,184 hp,"Automatic, Diesel","Automatic, Diesel",Used,,,,,,BMW,320,2013,Black,Metallic,,Sedans,4,5,Automatic,8,"1,995 cc",4,"1,505 kg",Diesel (Particulate Filter),"4.5 l/100 km (comb)
5.4 l/100 km (city)
3.9 l/100 km (country)",117 g CO2/km (comb),,,,Euro 5,,,,,,,,,,
65,https://www.autoscout24.com//offers/mercedes-benz-c-63-amg-klasse-w204-avantgarde-aut-gasoline-silver-83d37f8f-818a-e50e-e053-e250040a84ea,Mercedes-Benz C 63 AMG -Klasse (W204) Avantgarde Aut.,"€ 33,333.-","135,000 km",Used,12/2008,336 kW,457 hp,"Semi-automatic, Gasoline","Semi-automatic, Gasoline",Used,,,,,,Mercedes-Benz,C 63 AMG,2008,Silver,,,Sedans,4,5,Semi-automatic,7,"6,208 cc",8,"1,795 kg",Gasoline,"13.4 l/100 km (comb)
21.1 l/100 km (city)
9.5 l/100 km (country)",312 g CO2/km (comb),,,,Euro 4,,,,,,,,,,
